young_tableau,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30
"[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,11,47,117,253,510,942,1604,2584,4019,6044,8770,12377,17137,23281,31003,40626,52576,67212,84855,105979,131209,161085,196052,236775,284141
[7],0,0,0,0,0,0,4,24,83,227,537,1133,2187,3958,6803,11167,17631,26965,40121,58230,82664,115119,157606,212413,282210,370184,479981,615646,781802,983798,1227615
"[6, 1]",0,0,0,0,0,5,39,169,540,1425,3290,6863,13220,23882,40918,67080,105934,161988,240861,349462,496159,690966,945756,1274485,1693420,2221365,2879916,3693750,4690890,5902972,7365561
"[5, 2]",0,0,0,0,1,17,105,417,1289,3363,7727,16074,30901,55763,95523,156581,247208,377965,562014,815413,1157631,1612109,2206615,2973630,3951026,5182776,6719381,8618290,10944755,13772759,17185439
"[5, 1, 1]",0,0,0,0,2,19,108,435,1364,3574,8217,17123,32996,59609,102121,167449,264527,404574,601595,872932,1239562,1726418,2363108,3184656,4231814,5551424,7197372,9231543,11724120,14753958,18409818
"[4, 3]",0,0,0,0,2,19,106,419,1295,3370,7729,16068,30894,55757,95495,156523,247153,377911,561905,815251,1157473,1611934,2206350,2973286,3950676,5182406,6718881,8617657,10944118,13772094,17184571
"[4, 2, 1]",0,0,0,0,3,41,249,1003,3143,8272,19099,39849,76782,138781,237956,390323,616621,943199,1402879,2035882,2890967,4026628,5512176,7428939,9871727,12950310,16790761,21536903,27352080,34420980,42951193
"[4, 1, 1, 1]",0,0,0,0,2,23,135,551,1752,4648,10786,22584,43612,78941,135492,222417,351569,537994,800436,1161899,1650249,2298875,3147387,4242288,5637743,7396453,9590456,12301959,15624320,19663030,24536680
"[3, 3, 1]",0,0,0,0,2,23,140,585,1871,4942,11406,23830,45994,83177,142610,233973,369759,565680,841360,1221061,1734125,2415481,3306609,4456511,5922201,7769294,10073278,12920738,16409867,20651133,25768869
"[3, 2, 2]",0,0,0,0,1,19,132,565,1820,4859,11311,23704,45781,82883,142296,233601,369208,564971,840621,1220228,1732997,2414098,3305183,4454949,5920193,7766905,10070831,12918104,16406611,20647351,25765013
"[3, 2, 1, 1]",0,0,0,0,1,28,207,911,2981,8010,18691,39257,75981,137716,236544,388512,614382,940452,1399501,2031807,2886175,4021011,5505558,7421242,9862943,12940301,16779295,21523895,27337545,34404748,42932967
"[3, 1, 1, 1, 1]",0,0,0,0,0,9,80,368,1224,3340,7883,16638,32268,58610,100872,165865,262442,401956,598512,869259,1235030,1720999,2356943,3177573,4223425,5541711,7186566,9219419,11710145,14738129,18392482
"[2, 2, 2, 1]",0,0,0,0,0,7,68,335,1145,3129,7367,15554,30192,54827,94291,154992,245243,375565,559060,811845,1153439,1607199,2200835,2966907,3943349,5174042,6709386,8606935,10932070,13758617,17169553
"[2, 2, 1, 1, 1]",0,0,0,0,0,5,58,313,1113,3077,7267,15400,29998,54562,93904,154489,244642,374820,558101,810666,1152078,1605606,2198889,2964610,3940783,5171122,6705944,8602996,10927734,13753774,17164004
"[2, 1, 1, 1, 1, 1]",0,0,0,0,0,0,19,122,451,1275,3051,6503,12707,23178,39982,65869,104400,160079,238518,346621,492756,686932,941016,1268964,1687040,2214041,2871557,3684260,4680172,5890926,7352081
"[1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,15,73,207,490,1056,2088,3823,6596,10886,17303,26566,39587,57561,81907,114237,156503,211095,280754,368540,478010,613360,779315,981044,1224407
[8],0,0,0,0,0,0,0,5,35,135,396,994,2245,4651,8943,16228,28156,46936,75458,117672,178828,265472,385691,549769,770605,1063616,1447076,1943267,2579090,3385723,4399147
"[7, 1]",0,0,0,0,0,0,8,66,302,1033,2929,7234,16074,32901,63061,114390,197966,329221,529125,825283,1253415,1859382,2701211,3850889,5396710,7446578,10131152,13606358,18056859,23701034,30795401
"[6, 2]",0,0,0,0,0,3,36,221,939,3104,8587,20923,46289,94584,180845,327401,566335,941776,1512959,2358731,3582103,5314123,7719218,11003005,15419625,21277422,28947157,38874295,51589750,67717410,87985955
"[6, 1, 1]",0,0,0,0,0,3,38,234,977,3209,8930,21873,48409,98889,189317,343164,593714,987259,1586607,2474559,3758329,5575490,8100010,11547767,16183744,22331706,30383417,40806532,54155236,71084721,92364227
"[5, 3]",0,0,0,0,0,5,59,340,1361,4385,12101,29487,65018,132501,253313,458770,793216,1318361,2118027,3302660,5015125,7438811,10805817,15404058,21586696,29785363,40522617,54422095,72222506,94797337,123172514
"[5, 2, 1]",0,0,0,0,0,12,127,731,3005,9834,27257,66604,147407,301214,576510,1044802,1807956,3007034,4832694,7537227,11448469,16985647,24677260,35181235,49307384,68042259,92576697,124336059,165013216,216604620,281449467
"[5, 1, 1, 1]",0,0,0,0,1,9,68,384,1600,5282,14700,36022,79963,163784,313857,569221,985772,1640658,2637773,4115026,6252143,9278370,13482034,19222854,26944527,37186590,50599039,67961230,90200466,118408549,153862665
"[4, 4]",0,0,0,0,0,5,33,164,679,2226,6078,14701,32483,66357,126730,229213,396453,659367,1059106,1650811,2507055,3719617,5402901,7700791,10792120,14892732,20260930,27208533,36108717,47398209,61585102
"[4, 3, 1]",0,0,0,0,1,14,135,788,3256,10683,29685,72642,160865,328855,629686,1141539,1975724,3286515,5282567,8239804,12516530,18571234,26982305,38469317,53917445,74405747,101237346,135971107,180457722,236880844,307800001
"[4, 2, 2]",0,0,0,0,0,10,101,594,2521,8403,23461,57559,127874,262025,502159,910753,1577345,2625366,4220881,6584570,10004291,14846821,21573041,30758568,43113988,59502462,80963108,108743076,144327217,189462231,246190142
"[4, 2, 1, 1]",0,0,0,0,0,12,152,939,3974,13250,37261,91896,204415,419071,804173,1460194,2529907,4211504,6773522,10570676,16062965,23839676,34645077,49404248,69254092,95581711,130063731,174704344,231881045,304401105,395557396
"[4, 1, 1, 1, 1]",0,0,0,0,0,5,55,337,1469,4999,14175,35139,78550,161594,310641,564719,979581,1632276,2626740,4100834,6234087,9255624,13453804,19188330,26902652,37136076,50538702,67889928,90116647,118310387,153748550
"[3, 3, 2]",0,0,0,0,0,5,69,436,1853,6189,17433,43009,95600,195864,375788,682280,1181806,1966860,3163064,4935983,7499866,11129728,16173543,23063035,32327925,44615564,60709552,81545191,108230509,142075635,184619192
"[3, 3, 1, 1]",0,0,0,0,0,8,85,537,2391,8156,23003,56756,126605,260148,499430,906860,1572008,2618300,4211637,6572564,9989029,14827839,21549596,30729731,43079005,59460615,80913299,108683972,144257717,189381323,246096329
"[3, 2, 2, 1]",0,0,0,0,0,5,90,637,2878,9906,28280,70311,157216,323391,621836,1130638,1960928,3266823,5256906,8206968,12475074,18519517,26918586,38391707,53823745,74293464,101103906,135813801,180273412,236666046,307551190
"[3, 2, 1, 1, 1]",0,0,0,0,0,3,70,537,2516,8815,25392,63455,142392,293633,565508,1029320,1786759,2978691,4795532,7489347,11387714,16909571,24583161,35066101,49167847,67874656,92377022,124099891,164735782,216280763,281073575
"[3, 1, 1, 1, 1, 1]",0,0,0,0,0,0,17,156,765,2744,8061,20394,46011,95172,183841,335417,583016,972785,1567499,2449871,3726856,5535815,8050704,11487313,16110271,22243062,30277473,40681072,54007569,70911793,92163057
"[2, 2, 2, 2]",0,0,0,0,0,1,12,100,521,1898,5490,13730,30961,64094,123498,224718,390362,651299,1048602,1637368,2490109,3698510,5376929,7669172,10753952,14847061,20206719,27144611,36033849,47311067,61484214
"[2, 2, 2, 1, 1]",0,0,0,0,0,0,20,197,1010,3680,10815,27314,61601,127399,245951,448449,779150,1299659,2093606,3271238,4975339,7389188,10744589,15329206,21496137,29676856,40393551,54269563,72043517,94588747,122930735
